g_id,path_id,Title text,subordinate text,corrected for aria,Aria-label
Labelled,BaffinO,Baffin Orogen,2000-1800 Ma,2000-1800,Baffin Orogen.2000-1800 M A
Labelled,NagssugtoqidianO,Nagssugtoqidian Orogen,2000-1800 Ma,2000-1800,Nagssugtoqidian Orogen.2000-1800 M A
Labelled,Rae,Rae Province,2900-2700 Ma,2900-2700,Rae Province.2900-2700 M A
Labelled,SuperiorP,Superior Province,3600-2500 Ma,3600-2500,Superior Province.3600-2500 M A
Labelled,TorngatO,Torngat Orogen,2000-1800 Ma,2000-1800,Torngat Orogen.2000-1800 M A
Labelled,Talston,Talston Orogen,2000-1900 Ma,2000-1900,Talston Orogen.2000-1900 M A
Labelled,Heame,Hearne Province,2900-2700 Ma,2900-2700,Hearne Province.2900-2700 M A
Labelled,Wopmay,Wopmay Orogen,1970-1690 Ma,1970-1690,Wopmay Orogen.1970-1690 M A
Labelled,Transhudson,Trans-Hudson Orogen,1920-1690 Ma,1920-1690,Trans-Hudson Orogen.1920-1690 M A
Labelled,NainP,Nain Province,3800-2500 Ma,3800-2500,Nain Province.3800-2500 M A
Labelled,SlaveP,Slave Province,4000-2580 Ma,4000-2580,Slave Province.4000-2580 M A
Labelled,WyomingP,Wyoming Province,3600-2500 Ma,3600-2500,Wyoming Province.3600-2500 M A
Labelled,YavapaiMazatal,Yavapai and Mazatzal Provinces,1800-1600 Ma,1800-1600,Yavapai and Mazatzal Provinces.1800-1600 M A
Labelled,Penokean,Penokean Orogen,1880-1850 Ma,1880-1850,Penokean Orogen.1880-1850 M A
Labelled,Sprov,Southern Province,2500-600 Ma,2500-600,Southern Province.2500-600 M A
Labelled,MCR,Mid Continental Rift,1100-1000 Ma,1100-1000,Mid Continental Rift.1100-1000 M A
Labelled,Grenville,Grenville Orogen,1400-1000 Ma,1400-1000,Grenville Orogen.1400-1000 M A
Labelled,Ouachitas,Ouachitas Orogen,318-271 Ma,318-271,Ouachitas Orogen.318-271 M A
Labelled,Appalachia,Appalachian Orogen,480-260 Ma,480-260,Appalachian Orogen.480-260 M A
Labelled,Cordillera,The Cordillera,200-80 Ma,200-80,The Cordillera.200-80 M A
Labelled,Shield,Canadian Shield,,,Canadian Shield.
Labelled,Nena,Nena,,,Nena.
Labelled,CoverStrata,Paleozoic and Mesozoic Cover Strata,544-65 Ma,,Paleozoic and Mesozoic Cover Strata.
Labelled,Arctica,Arctica,,,Arctica.
Labelled,Laurentia,Laurentia,,,Laurentia.
Labelled,Rodinia,Rodinia,,,Rodinia.